13:45:28.40	0,273265302	-0,702510782	13:45:26.77	5,915305885
0,2100568	0,273474645	-0,702573598	0,1510925	5,915305885
0,4179374	0,273454688	-0,702364249	0,350677	5,915305885
0,6499706	0,305020313	-0,705281274	0,6263899	5,915305885
0,8660318	0,353947834	-0,655370008	0,7762774	5,915305885
1,0504204	0,460576405	-0,61602787	1,0016853	5,915305885
1,2750316	0,593326115	-0,507107045	1,2506746	5,915305885
1,4664961	0,653302108	-0,11853518	1,4226509	5,915305885
1,6660363	0,316433836	0,410765615	1,6015052	5,915305885
1,8943361	-0,139085285	0,623469109	1,8762364	5,915305885
2,1192943	-0,370561296	0,542794942	2,0516887	5,915305885
2,3415588	-0,536745468	0,343913175	2,2827236	5,914901972
2,5412074	-0,678388596	-0,007476191	2,4987848	5,912074581
2,7513049	-0,574169246	-0,486723408	2,6505896	5,904400234
2,9459437	-0,233058499	-0,720974729	2,8762174	5,883800671
3,1628334	0,064603346	-0,742475017	3,1266479	5,849468066
3,3576392	0,240751005	-0,725643518	3,3268176	5,825233286
3,5618287	0,439487249	-0,616713764	3,5270891	5,806653288
3,7820854	0,605412941	-0,429382778	3,7520473	5,795747637
3,9862234	0,683379608	-0,063660187	3,9753131	5,774340248
4,2075236	0,630593676	0,224055856	4,1766912	5,754144598
4,4146978	0,416877403	0,478145067	4,4128215	5,7355646
4,6138266	0,150579183	0,607751065	4,6325101	5,719004167
4,8110773	-0,127136658	0,609281342	4,7799313	5,709714168
5,072549	-0,408211054	0,520589172	4,9903922	5,700020256
5,2552129	-0,538097114	0,404792269	5,1791536	5,686691127
5,4585123	-0,638891229	0,142383381	5,4148384	5,669322868
5,6580454	-0,67648802	-0,272949108	5,603019	5,65882113
5,8582796	-0,484767862	-0,596356114	5,8402766	5,647107653
6,0831243	-0,189332219	-0,710583233	6,0314689	5,635798089
6,276004	-0,012013038	-0,758333758	6,230761	5,624084612
6,4904569	0,167484612	-0,746244243	6,4596039	5,608332005
6,7082009	0,343304089	-0,685118608	6,657446	5,598638093
6,9073972	0,529509826	-0,523375858	6,8582822	5,589752007
7,1084123	0,664048972	-0,283531661	7,0912653	5,573595487
7,2957797	0,699933457	-0,018062583	7,2907984	5,558246793
7,4879874	0,518441622	0,326116375	7,4910326	5,547745055
7,7326119	0,110205052	0,592986451	7,7158773	5,541282447
7,9128337	-0,107726582	0,634633153	7,9156077	5,534819839
8,1417438	-0,299856118	0,53811265	8,1078478	5,528357231
8,3657784	-0,543351492	0,364051366	8,3409539	5,516643754
8,5625542	-0,701113172	-0,057736885	8,5401502	5,506949842
8,7896552	-0,673878616	-0,337219712	8,7411653	5,497659843
8,9924483	-0,574300913	-0,454434632	8,9339728	5,487965931
9,1609513	-0,558805039	-0,496540432	9,1366541	5,475848541
9,3913897	-0,559229509	-0,507274029	9,3653649	5,464538977
9,6159101	-0,549321248	-0,49451408	9,5605502	5,460095934
9,8143808	-0,466483868	-0,590622297	9,7585193	5,449998109
10,0330261	-0,166881639	-0,732167316	9,9826312	5,439496371
10,2420486	0,328768719	-0,654347701	10,1792973	5,430206372
10,4123012	0,614921869	-0,138979699	10,437955	5,427782894
10,6422623	0,418506404	0,541342922	10,6411586	5,427782894
10,8382417	0,382588517	0,637471338	10,8098424	5,427782894
11,067057	0,383788143	0,640291878	11,0077207	5,427782894
11,2645225	0,384116908	0,638927221	11,2324231	5,427782894
11,5640764	0,24104575	0,676447194	11,4311517	5,427782894
11,692061	0,075561222	0,72609587	11,6657791	5,427782894
11,9380988	-0,192609321	0,690559618	11,8588464	5,427782894
12,1382578	-0,528819178	0,508282834	12,0605613	5,427782894
12,3370283	-0,723605371	0,204913503	12,289972	5,427782894
12,5420804	-0,745456039	-0,056587615	12,4879024	5,427782894
12,7715397	-0,69608693	-0,267756967	12,715812	5,427782894
12,9350253	-0,620612339	-0,407791991	12,9136662	5,427782894
